type,heuristic,n. of constants,n. of literals,result,backtracks,max_depth,runtime
4x4,3,6,"[16, 12, 9, 8, 7, 6, 4, 3, 2, 1]","[113, 134, 222, 332, 424, 443, 121, 241, 142, 214, 233, 311, 323, 344, 412, 431]",0,10,0.016367999999999994
4x4,3,4,"[24, 19, 16, 14, 13, 11, 9, 8, 6, 3, 2, 1]","[133, 212, 343, 424, 121, 311, 114, 223, 142, 322, 413, 334, 441, 231, 244, 432]",0,12,0.02313019999999999
4x4,3,4,"[28, 23, 20, 17, 16, 13, 10, 8, 6, 3, 2, 1]","[122, 234, 323, 433, 131, 221, 143, 213, 114, 242, 332, 424, 311, 441, 344, 412]",0,12,0.01366089999999999
4x4,3,4,"[24, 19, 16, 14, 13, 11, 9, 8, 6, 3, 2, 1]","[143, 222, 333, 411, 114, 324, 121, 213, 132, 312, 423, 341, 434, 244, 231, 442]",0,12,0.016481600000000013
4x4,3,6,"[16, 11, 9, 8, 7, 6, 4, 3, 2, 1]","[121, 134, 232, 322, 424, 431, 143, 223, 112, 214, 241, 333, 344, 311, 413, 442]",0,10,0.012691999999999995
4x4,3,4,"[26, 21, 16, 13, 9, 8, 7, 6, 4, 3, 2, 1]","[221, 242, 312, 334, 233, 323, 131, 214, 144, 113, 122, 341, 411, 424, 432, 443]",0,12,0.016895400000000005
4x4,3,4,"[28, 23, 20, 17, 16, 13, 10, 8, 6, 3, 2, 1]","[134, 221, 332, 422, 123, 233, 112, 242, 141, 214, 324, 431, 343, 413, 311, 444]",0,12,0.0147066
4x4,3,6,"[16, 11, 9, 8, 7, 6, 4, 3, 2, 1]","[114, 142, 213, 343, 412, 444, 121, 241, 133, 222, 234, 311, 324, 332, 423, 431]",0,10,0.01586789999999999
4x4,3,4,"[26, 21, 16, 14, 11, 8, 7, 6, 5, 3, 2, 1]","[113, 121, 432, 441, 134, 414, 142, 212, 243, 224, 231, 311, 333, 344, 322, 423]",0,12,0.013150100000000026
4x4,3,4,"[24, 19, 16, 14, 13, 11, 9, 6, 4, 3, 2, 1]","[122, 241, 312, 433, 134, 344, 143, 232, 111, 331, 414, 323, 213, 224, 421, 442]",0,12,0.01633380000000001
9x9,3,24,"[235, 222, 212, 202, 194, 186, 182, 178, 171, 164, 154, 152, 146, 142, 136, 131, 125, 124, 117, 112, 108, 104, 100, 95, 94, 90, 87, 81, 78, 73, 69, 66, 61, 59, 55, 51, 48, 45, 43, 41, 38, 34, 31, 30, 26, 25, 22, 18, 17, 14, 12, 8, 7, 6, 3, 2, 1]","[164, 188, 199, 219, 286, 359, 414, 442, 525, 553, 577, 582, 618, 637, 684, 732, 798, 817, 829, 843, 938, 951, 974, 996, 591, 923, 516, 915, 421, 539, 622, 433, 568, 495, 544, 489, 693, 711, 676, 892, 478, 655, 987, 962, 949, 858, 641, 669, 754, 779, 726, 834, 127, 866, 783, 467, 456, 765, 152, 747, 113, 257, 312, 294, 272, 228, 397, 245, 324, 146, 231, 348, 135, 263, 171, 336, 361, 385, 875, 373, 881]",0,57,3.7769673
9x9,3,23,"[241, 230, 225, 216, 206, 199, 192, 189, 185, 180, 176, 172, 167, 165, 162, 153, 149, 142, 135, 127, 122, 115, 108, 104, 99, 98, 96, 89, 85, 76, 73, 70, 63, 60, 57, 55, 54, 47, 43, 40, 39, 38, 36, 33, 30, 29, 26, 24, 21, 18, 13, 10, 9, 8, 6, 4, 2, 1]","[162, 221, 233, 244, 269, 292, 317, 339, 381, 395, 465, 511, 558, 596, 626, 649, 657, 688, 715, 766, 832, 942, 983, 543, 322, 564, 147, 661, 151, 446, 255, 348, 452, 363, 741, 356, 845, 374, 612, 931, 975, 136, 673, 189, 218, 178, 114, 193, 125, 694, 585, 487, 537, 286, 529, 277, 413, 572, 635, 779, 884, 471, 782, 499, 876, 891, 819, 916, 853, 959, 754, 723, 738, 924, 434, 428, 797, 827, 998, 868, 967]",0,58,3.7053034
9x9,3,23,"[242, 237, 230, 224, 218, 210, 204, 197, 191, 186, 181, 173, 167, 159, 153, 147, 141, 136, 131, 125, 122, 115, 111, 107, 104, 103, 100, 96, 86, 84, 80, 73, 67, 62, 56, 54, 51, 47, 46, 41, 38, 32, 37, 40, 45, 46, 50, 53, 55, 61, 66, 62, 56, 54, 51, 47, 46, 42, 39, 31, 28, 27, 24, 23, 22, 20, 18, 14, 11, 10, 8, 5, 4, 3, 2, 1]","[143, 187, 194, 217, 264, 322, 371, 385, 452, 489, 533, 546, 615, 659, 684, 714, 786, 829, 881, 927, 931, 942, 956, 334, 162, 519, 366, 632, 974, 437, 812, 313, 836, 918, 723, 735, 983, 853, 111, 844, 416, 554, 424, 138, 155, 239, 126, 225, 179, 349, 398, 357, 282, 445, 588, 248, 473, 251, 276, 491, 293, 468, 521, 677, 567, 628, 641, 696, 663, 747, 758, 865, 772, 878, 575, 799, 592, 761, 897, 969, 995]",8,59,3.4998402
